link;id_apto;precio;cant_h;coord;hab_disponibles;id_arrendador
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/7220450;7220450;9000000;5;POINT(3.4498722553253174 -76.53463745117188);5;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/calimio-desepaz/cali/7940424;7940424;480000;2;POINT(3.4130001068115234 -76.52899932861328);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7941919;7941919;5000000;3;POINT(3.4498722553253174 -76.53463745117188);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-bochalema/cali/7958519;7958519;1150000;2;POINT(3.434000015258789 -76.5260009765625);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-limonar/cali/7941153;7941153;3300000;4;POINT(3.3936662673950195 -76.52725982666016);4;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7952741;7952741;1700000;3;POINT(3.3725807666778564 -76.52233123779297);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7852276;7852276;1000000;3;POINT(3.4498722553253174 -76.53463745117188);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7928862;7928862;3450000;2;POINT(3.4498722553253174 -76.53463745117188);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7940548;7940548;3000000;3;POINT(3.384999990463257 -76.52200317382812);3;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7857677;7857677;12000000;3;POINT(3.3425381183624268 -76.53731536865234);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/republica-de-israel/cali/7941580;7941580;650000;2;POINT(3.4100000858306885 -76.51599884033203);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/republica-de-israel/cali/7941556;7941556;650000;2;POINT(3.4100000858306885 -76.51599884033203);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cristales/cali/7887131;7887131;3400000;3;POINT(3.430999994277954 -76.5510025024414);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/metropolitano-del-norte/cali/7866295;7866295;750000;2;POINT(3.4933319091796875 -76.49028778076172);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/juanambu/cali/7894404;7894404;6900000;3;POINT(3.4590001106262207 -76.53800201416016);3;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7955988;7955988;1450000;3;POINT(3.371000051498413 -76.52300262451172);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7908420;7908420;1200000;3;POINT(3.4498722553253174 -76.53463745117188);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7867027;7867027;3500000;3;POINT(3.3471181392669678 -76.52849578857422);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/7893405;7893405;1100000;2;POINT(3.3859288692474365 -76.5196533203125);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-isabel/cali/7942859;7942859;2920000;1;POINT(3.4516468048095703 -76.531982421875);1;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/oeste-el-penon-cali/cali/7261065;7261065;3750000;4;POINT(3.4510343074798584 -76.54264068603516);4;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-flora/cali/7847168;7847168;3950000;2;POINT(3.48563994794916 -76.52419263591835);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-monica/cali/7854815;7854815;5800000;3;POINT(3.4679999351501465 -76.53199768066406);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/parcelacion-piedra-grande/cali/10033597;10033597;950000;2;POINT(3.3474755047803106 -76.51403612974036);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cambulos/cali/7942829;7942829;3000000;3;POINT(3.4202723503112793 -76.54193878173828);3;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7943375;7943375;5475600;4;POINT(3.4492480754852295 -76.54460906982422);4;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7942364;7942364;4600000;3;POINT(3.3352556228637695 -76.52913665771484);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pampa-linda/cali/7919817;7919817;1300000;3;POINT(3.4034807682037354 -76.55030822753906);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/norte-santa-teresita-cali/cali/7886184;7886184;4600000;5;POINT(3.449486017227173 -76.55243682861328);5;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-alcazares/cali/7901730;7901730;650000;3;POINT(3.485856533050537 -76.49118041992188);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-anita/cali/7942977;7942977;3500000;3;POINT(3.4042274951934814 -76.53839874267578);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/san-carlos/cali/7943197;7943197;480000;2;POINT(3.4230000972747803 -76.51100158691406);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/melendez/cali/7902781;7902781;1300000;2;POINT(3.4498722553253174 -76.53463745117188);2;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7943867;7943867;5500000;4;POINT(3.452580451965332 -76.54898071289062);4;1296923004
